dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
ACTIVITY-D1.arff,15,20,50,2,0.889211218067206,0.779628626324653
ACTIVITY-D1.arff,15,20,50,3,0.879393549711191,0.773863399513103
ACTIVITY-D1.arff,15,20,50,4,0.877126844731172,0.776959144640896
ACTIVITY-D1.arff,15,20,50,5,0.876648218378148,0.771171528213595
ACTIVITY-D1.arff,15,20,50,6,0.891901007720021,0.783719490603012
ACTIVITY-D1.arff,15,20,100,2,0.873086240212251,0.76827561477454
ACTIVITY-D1.arff,15,20,100,3,0.890595201905673,0.785255421009015
ACTIVITY-D1.arff,15,20,100,4,0.880485476536184,0.774138106629148
ACTIVITY-D1.arff,15,20,100,5,0.894053004129798,0.791524760057522
ACTIVITY-D1.arff,15,20,100,6,0.88214692457889,0.780049306640057
ACTIVITY-D1.arff,15,20,200,2,0.879820797486139,0.774652566367146
ACTIVITY-D1.arff,15,20,200,3,0.885743640340547,0.776200698403685
ACTIVITY-D1.arff,15,20,200,4,0.885330394449104,0.774005570409123
ACTIVITY-D1.arff,15,20,200,5,0.872087034072139,0.767159395835769
ACTIVITY-D1.arff,15,20,200,6,0.879139323962971,0.773595531616338
ACTIVITY-D1.arff,15,50,50,2,0.87398577233353,0.765672594124649
ACTIVITY-D1.arff,15,50,50,3,0.886277438072251,0.77653706145793
ACTIVITY-D1.arff,15,50,50,4,0.877358603429699,0.771250171971344
ACTIVITY-D1.arff,15,50,50,5,0.892750436523492,0.783835719101433
ACTIVITY-D1.arff,15,50,50,6,0.886782211861138,0.776495400068092
ACTIVITY-D1.arff,15,50,100,2,0.881431191324507,0.770632735683103
ACTIVITY-D1.arff,15,50,100,3,0.899064441112741,0.795226755705202
ACTIVITY-D1.arff,15,50,100,4,0.879852672075791,0.772667986016519
ACTIVITY-D1.arff,15,50,100,5,0.880460391676803,0.774875934986382
ACTIVITY-D1.arff,15,50,100,6,0.902102614823855,0.797609195610476
ACTIVITY-D1.arff,15,50,200,2,0.892497991613793,0.776562974387206
ACTIVITY-D1.arff,15,50,200,3,0.894090667283862,0.785571905770322
ACTIVITY-D1.arff,15,50,200,4,0.883231886578949,0.776396390678171
ACTIVITY-D1.arff,15,50,200,5,0.886840372110117,0.77050443266205
ACTIVITY-D1.arff,15,50,200,6,0.885939029248343,0.764524865455001
ACTIVITY-D1.arff,15,100,50,2,0.88221503916175,0.775153240380553
ACTIVITY-D1.arff,15,100,50,3,0.881917970014028,0.764370489912519
ACTIVITY-D1.arff,15,100,50,4,0.886443203253913,0.776576370155726
ACTIVITY-D1.arff,15,100,50,5,0.889571211045836,0.78095759073256
ACTIVITY-D1.arff,15,100,50,6,0.887788396245931,0.771595980073971
ACTIVITY-D1.arff,15,100,100,2,0.886618916049678,0.778160042706897
ACTIVITY-D1.arff,15,100,100,3,0.881008036055284,0.768300553692477
ACTIVITY-D1.arff,15,100,100,4,0.879631896732503,0.769161317674149
ACTIVITY-D1.arff,15,100,100,5,0.890973375681037,0.770107000828804
ACTIVITY-D1.arff,15,100,100,6,0.892368432102567,0.783984525191512
ACTIVITY-D1.arff,15,100,200,2,0.879083125172252,0.764739473669372
ACTIVITY-D1.arff,15,100,200,3,0.883265939588727,0.774884649049105
ACTIVITY-D1.arff,15,100,200,4,0.876567677698848,0.768220545200518
ACTIVITY-D1.arff,15,100,200,5,0.890596547786466,0.782709411438863
ACTIVITY-D1.arff,15,100,200,6,0.889798589984973,0.777846610136902
DJ30-D1.arff,15,20,50,2,0.988701872157822,0.980055105833803
DJ30-D1.arff,15,20,50,3,0.989624121619152,0.98140962937937
DJ30-D1.arff,15,20,50,4,0.98718291520003,0.978397564446348
DJ30-D1.arff,15,20,50,5,0.989949471949114,0.982484493024337
DJ30-D1.arff,15,20,50,6,0.990056453782001,0.981770801245094
DJ30-D1.arff,15,20,100,2,0.988436878675782,0.979663246359776
DJ30-D1.arff,15,20,100,3,0.988828546860579,0.980328843451206
DJ30-D1.arff,15,20,100,4,0.98714376698622,0.977510724917339
DJ30-D1.arff,15,20,100,5,0.988500583319668,0.9799489358132
DJ30-D1.arff,15,20,100,6,0.988450258010044,0.979344896431914
DJ30-D1.arff,15,20,200,2,0.984917306944591,0.974678119350092
DJ30-D1.arff,15,20,200,3,0.988950989445002,0.981006245546553
DJ30-D1.arff,15,20,200,4,0.988775267862129,0.980367662561311
DJ30-D1.arff,15,20,200,5,0.988598117095599,0.979966554672099
DJ30-D1.arff,15,20,200,6,0.98912339394477,0.980828436384596
DJ30-D1.arff,15,50,50,2,0.98315002806755,0.972037524878998
DJ30-D1.arff,15,50,50,3,0.984068687623226,0.972881014785738
DJ30-D1.arff,15,50,50,4,0.987325684736928,0.976818649169485
DJ30-D1.arff,15,50,50,5,0.983419668521975,0.972008186983752
DJ30-D1.arff,15,50,50,6,0.985987372246325,0.975118695607069
DJ30-D1.arff,15,50,100,2,0.981164849281,0.96810743620067
DJ30-D1.arff,15,50,100,3,0.980391061027823,0.966219016995566
DJ30-D1.arff,15,50,100,4,0.983322555723465,0.971847200168392
DJ30-D1.arff,15,50,100,5,0.980387094721593,0.968415865919693
DJ30-D1.arff,15,50,100,6,0.983958445064144,0.972326617971913
DJ30-D1.arff,15,50,200,2,0.984442645948529,0.974039953536306
DJ30-D1.arff,15,50,200,3,0.981213626090632,0.968985643076914
DJ30-D1.arff,15,50,200,4,0.983825649867922,0.972562267783134
DJ30-D1.arff,15,50,200,5,0.98180279002579,0.969870908270529
DJ30-D1.arff,15,50,200,6,0.985713450861824,0.975021834969957
DJ30-D1.arff,15,100,50,2,0.983281819784598,0.971490154755594
DJ30-D1.arff,15,100,50,3,0.985981421292815,0.974749688266689
DJ30-D1.arff,15,100,50,4,0.977697866404052,0.961431640502445
DJ30-D1.arff,15,100,50,5,0.980720212061823,0.966519955722069
